afid,parent_afid
60014498,60000928
60000105,60000928
60025863,60000928
60033458,60000928
60029586,60000928
60012837,60000928
60019159,60000928
60078453,60000928
60025545,60000928
60030249,60000928
60002339,60000928
60018493,60000928
60116269,60000928
60077204,60000928
60025315,60000928
60018590,60000928
60028105,60000928
60025097,60000928
60030958,60001688
60011018,60079804
60002652,60031043
60003987,60031043
60031979,60027233
60013417,60027233
60006775,60026098
60023667,60026098
60093191,60024271
60003278,60024271
60020783,60024271
60003423,60021814
60111190,60109024
60014677,60010537
60030196,60010537
60030134,60028728
60030760,60010651
60009168,60010651
60027139,60004504
60075451,60004504
60000563,60012989
60031136,60012989
60006897,60001625
60009120,60023612
60010152,60023612
60112497,60023612
60013830,60023612
60018149,60023612
60008845,60023612
60112315,60023612
60091322,60023612
60019743,60023612
60030591,60023612
60031864,60023612
60003623,60023612
115372664,60120612
60010780,60020447
60029283,60020447
60007876,60020447
60024441,60020447
60013723,60020447
60020502,60020447
60009739,60020447
60017450,60017606
60012390,60024673
60018900,60030386
60006667,60002092
60083980,60002092
60009668,60002092
60026141,60002092
60012284,60002092
60002264,60003169
60019246,60029798
60004138,60030997
60077079,60012928
60014032,60031973
60033310,60106890
60075486,60106890
60013294,60106890
60008270,60001527
60029752,60001527
60006073,60033467
60096634,60013901
60101851,60013901
60103256,60103255
60079476,60014169
60079477,60014169
60019775,60014169
60107915,60014169
60004139,60014169
60021881,60014169
60079479,60014169
60001836,60014169
60028668,60015623
60102313,60015623
60014947,60015623
60021211,60015623
60008945,60015623
60010662,60001413
60032959,60001413
60002190,60001413
60000570,60001413
60003404,60018319
60021890,60018319
60023279,60018319
60098564,60018319
60077295,60003088
60077343,60003088
60003531,60003088
60116650,60003088
60012814,60003088
60032302,60003088
60031795,60003088
60024161,60003088
60019827,60003088
60025286,60003088
60007653,60023927
60020908,60023927
60022948,60023927
60021191,60023927
60002396,60023927
60002563,60023927
60116416,60023927
60022986,60023927
60002085,60023927
60017055,60023927
60007808,60000930
60015099,60019647
60001603,60019647
60116662,60019647
60021032,60019647
60077233,60019647
60023458,60026791
60028776,60026791
60020025,60026791
